overall	中古英语 overall ← 古英语 ofer eall（遍及全部），由 over ＋ all 复合而成	taking everything into account	总的/整体的	The overall cost came to nine hundred pounds.|Her overall performance improved during the term.	covering the whole rather than a part – 罩住全体而非局部	总的：把各部分合起来算|整体的：着眼于全体而非单项	一张图表把全年各月的柱子一并框进同一个方框里	/ˈəʊvərɔːl/
overcoat	由 over- ＋ coat 构成	a long warm coat worn over other clothes	大衣	He buttoned his overcoat before going outside.|A heavy overcoat hung beside the door.	a coat worn over the rest – 套在其余衣服外面的那件		门口衣钩上挂着一件长及膝下的厚外衣，里面还套着西装	
overcome	中古英语 overcomen ← 古英语 ofercuman，由 over- ＋ come 构成	to succeed in dealing with a difficulty	克服/战胜	She overcame her fear of deep water.|They overcame every obstacle on the route.	to come over an obstacle and past it – 翻过阻碍并越过去	克服：把挡路的困难越过去|战胜：压过对手取得上风	登山者翻过挡路的巨石，继续朝上走	
overflow	中古英语 overflowen ← 古英语 oferflōwan，由 over- ＋ flow 构成	to flow over the edge of a container	溢出/漫出	The river overflowed after three days of rain.|Milk overflowed the pan onto the stove.	to flow beyond the edge that holds it – 越过容器边缘流出去	溢出：液体越过边沿流出|漫出：向四周铺开流出	水从盆沿一直漫到地面，盆里还在不停注水	/ˌəʊvəˈfləʊ/
overhead	中古英语 owerheved ← 古英语 oferhēafod，由 over- ＋ head 构成	situated above the level of the head	头顶的/高架的	An overhead cable crossed the narrow street.|The overhead lights flickered twice tonight.	positioned above the head – 位置高过头部	头顶的：正在头的上方|高架的：架在高处越过下方	车间天花板下方悬着一根横梁，工人从下面走过	/ˈəʊvəhed/
overhear	中古英语 overheren ← 古英语 oferhīeran，由 over- ＋ hear 构成	to hear something said without being meant to	无意听到	I overheard them planning a surprise party.|She overheard part of the phone call.	to catch words that travel over to you – 话越过来被你接到		隔间那侧的谈话传过挡板，这边的人停下笔	/ˌəʊvəˈhɪə/
overlap	由 over ＋ lap 构成	to cover part of the same area as something else	重叠/部分相同	The two schedules overlap on Tuesday morning.|Their duties overlap in several areas.	to lie partly over another – 一部分压在另一物上	重叠：两者有一段压在一起|部分相同：范围有一块彼此共用	两张纸边缘压在一起，压住的那条带子颜色更深	/ˌəʊvəˈlæp/
overlook	中古英语 overloken，由 over ＋ look 构成	to fail to notice something, or to have a view over a place	忽视/俯瞰	He overlooked one line in the contract.|Our window overlooks the whole valley.	to look over something without taking it in – 目光越过而没接住	忽视：目光越过去没看进眼里|俯瞰：从高处往下把整片看在眼里	检查者视线扫过表格，掠过中间那一栏没停	/ˌəʊvəˈlʊk/
overpass	由 over- ＋ pass 构成	a road or bridge that crosses above another road	立交桥/天桥	Traffic crawled beneath the concrete overpass.|They built an overpass near the station.	a way that passes over another – 从另一条路上方跨过的通道	立交桥：上下分层交叉的桥|天桥：架高供跨越的桥	一条车道从另一条车道上方横跨过去，两层车流互不相碰	/ˈəʊvəpɑːs/
overseas	由更早的 oversea ＋ -s 构成	in or from a country across the sea	海外的/在国外	She spent three years working overseas.|Overseas orders rose sharply last quarter.	on the far side of the sea – 在海的另一侧	海外的：来自或位于海那边的|在国外：身处本国之外	货箱贴着远方港口的标签，吊车正把它移上远洋船	
