noble	gnoscere（拉丁语 noscere / 古体 gnoscere 认识、知道；nobilis ＝ gnō-＋-bilis，本义「可被认得的、有名望的」，承载词义的是 gnō- 而非 bonus。该族在词表内有 noble/notable/note/notice/notion/notorious/recognize/recognition/ignore/ignorant/ignorance/acquaint/acquaintance/diagnose 十四词；注意库中已建模的 notare「拉丁语 notare 做记号」是 nota 名词一支，noble 属 noscere 动词一支，上报时需定夺是并入 notare 还是另立 noscere）
noun	nomen（古法语 nom ← 拉丁语 nomen 名字、名称；语法术语 nomen 即「名词」。该族在词表内有 noun/pronoun/nominate/nominal/anonymous 五词，其中 anonymous 走希腊语 onoma 一支，与拉丁 nomen 同源）
nourish	nutrire（古法语 norir ← 拉丁语 nutrire 喂养、哺育。该族在词表内有 nourish/nurse/nurture/nutrition 四词）
nurse	nutrire（古法语 norrice ← 晚期拉丁语 nutricia ← nutrix 乳母 ← nutrire；同 nourish 一族，词表内共四词）
nurture	nutrire（古法语 norture ← 晚期拉丁语 nutritura ← nutrire；同上一族）
novel	novus（拉丁语 novus 新的 → 指小形 novellus 新出的；小说一义经意大利语 novella「新奇故事」入英语。该族在词表内有 novel/novelty/innovation/renovate 四词，renew 是 re-＋Germanic new 不计入）
novelty	novus（古法语 novelte ← 晚期拉丁语 novellitas ← novellus ← novus；同上一族）
obey	audire（已建模词根 audire，其 origin 即写「拉丁语 audire 听」；obey ← 古法语 obeir ← 拉丁语 oboedire ＝ ob-（朝着）＋audire，本义「侧耳听命」。该族在词表内有 obey/obedient/obedience/audience/audio/audit/auditorium 七词，库中 audire 根现只有 obedience/obedient 两个成员，属补词而非新根）
obvious	via（已建模词根 via，其 origin 即写「拉丁语 via 路、途径」；obvius ＝ ob（迎面）＋via，本义「正挡在路上的」，故引申为一眼就撞见。该族在词表内有 obvious/previous/deviate/trivial/convey/voyage 六词，库中 via 根现只有 previous 一个成员，属补词而非新根）
offend	fendere（拉丁语 offendere ＝ ob-（对着）＋fendere（击打），承载词义的是 fendere。该族在词表内有 offend/offensive/defend/defence/fence 五词）
onion	unus（古法语 oignon ← 拉丁语 unio 大颗独粒的珍珠、洋葱 ← unus 一，取「抱成独独一个球」之义。该族在词表内有 onion/ounce/union/unit/unite/unity/unique/uniform/unify/universe/universal/university 十二词）
ounce	unus（古法语 unce ← 拉丁语 uncia 十二分之一（一磅的十二分之一、一英尺的十二分之一即 inch）← unus；同 onion 一族，词表内共十二词）
