hotel	hospes/hostis（已建模词根 hostis：hospitale「客舍」← hospes 主/客；该族在词表内有 hotel/hospital/host/hostage/hospitality/hostile 六词，库中 hostis 根已有 6 个成员）
idea	希腊语 idea ← idein（看见）（该族在词表内有 idea/ideal/ideology 三词；ideology 的 -logy 一侧另属已建模的 logos 根，本词条应补进新立的 idea 根）
ideal	希腊语 idea（晚期拉丁语 idealis ← idea；同上三词同族）
ignorant	gnoscere（拉丁语 gnoscere/cognoscere 知晓，ignorant ← in- 不 + gnarus 知情，承载词义的是 gnoscere 一支；该族在词表内有 ignorant/ignorance/ignore/recognize/cognitive/diagnose 等六词以上）
ignore	gnoscere（同上；ignore ← 拉丁语 ignorare 不知、不理，与 ignorant 同族）
image	imago（拉丁语 imago 属格 imaginis：像、影；该族在词表内有 image/imagine/imagination/imaginary/imaginative 五词）
imagine	imago（拉丁语 imaginari 想出像来 ← imago；同上五词同族）
immense	metiri（拉丁语 metiri 量、测，过去分词 mensus；immense ← in- 不 + mensus 量得出的。该族在词表内有 immense/measure/dimension 三词；另注库中已有希腊语 metron 根，两者同源而词形不同，需人工定归属）
immerse	mergere（拉丁语 mergere 浸入、没入；该族在词表内有 immerse/emerge/merge/submerge/emergency 五词）
incline	klinein（已建模词根 klinein：希腊语 klinein 使倾斜；incline ← 拉丁语 inclinare，同一支。该族在词表内另有 decline/client/climate，库中 klinein 根已有 climate/climax/clinic 三个成员）
index	dicere（已建模词根 dict：index ← in- 指向 + dic- 说、指出，承载词义的是 dicere。该族在词表内有 index/indicate/indication/dictate/predict/contradict/dedicate 等，库中 dict 根已有 5 个成员）
industry	struere（已建模词根 stru：industria 一说为 indu 在内 + struere 建造，此说有争议但汉语词根教材通行归入此族。该族在词表内另有 industrial/structure/construct/instruct/instrument/destroy，库中 stru 根已有 9 个成员，入库前请人工确认该词源）
inertia	ars（已建模词根 ars：inertia ← iners = in- 无 + ars 本事、门道，承载词义的是 ars。该族在词表内有 inertia/art/artist/artificial/article，库中 ars 根已有 art/artist/artistic 三个成员）
infant	fari（拉丁语 fari 说话，infans = in- 不 + fans 会说的；该族在词表内有 infant/fable/fate/fame/confess/preface 六词。库中已建模的 profiteri 根其 origin 即写 fateri，属同一说话支，需人工定是并入还是新立 fari 根）
inherent	haerere（拉丁语 haerere 粘住、附着；该族在词表内有 inherent/adhere/coherent/hesitate 四词）
inherit	heres（拉丁语 heres 属格 heredis：继承人，晚期拉丁语 hereditare 承继；该族在词表内有 inherit/heritage/heir 三词。注意与库中希腊语 heros 根无关，勿混）
initial	ire（拉丁语 ire 走、去，initium = in- 进入 + ire 走 → 起步处；该族在词表内有 initial/initiate/initiative/exit/circuit/issue/ambition/perish/transition 等）
initiate	ire（同上；initiate ← 拉丁语 initiare 使入门 ← initium）
injure	jus/jurare（拉丁语 jus 属格 juris：法、权利，injuria = in- 不 + jus 合法 → 不当之害；该族在词表内有 injure/injury/jury/just/justice/justify/adjust 等七词）
injury	jus/jurare（同上；injury ← 拉丁语 injuria，与 injure 同族）
