park	中古英语 park ← 古法语 parc（畜栏）← 中世纪拉丁语 parcus ← 法兰克语 *parruk（围栏）	an enclosed public area of grass and trees, or to leave a vehicle somewhere	公园/停车	Children play in the park every afternoon.|He parked the van behind the shop.	an enclosed space set aside – 圈出来专作某用的一片地	公园：围起来供人游憩的绿地|停车：把车放进圈出的位置	围起来的一片草地上有长椅和树，入口栏杆边排着几辆车		noun / verb
parliament	中古英语 parlement ← 盎格鲁诺曼语 parliament 与古法语 parlement（商议、集会），由 parler（说话）＋ -ment 构成	the elected assembly that makes the laws of a country	议会	Parliament votes on the bill next week.|She was elected to parliament last spring.	an assembly that meets to speak and decide – 聚起来商议并作决定的会体		半圆形阶梯座席上众人举手表决，中央有人执槌		
past	中古英语 passed，是 passen（经过）的过去分词	the time before now, or by the side of something	过去/经过	She rarely talks about the past.|He walked past without a word.	what has already gone by – 已经过去了的那一段	过去：已流逝的那段时间|经过：从某物旁边通过	日历一叠已撕下的页散在桌角，墙上只剩当月那张		noun / preposition
paste	中古英语 paste ← 古法语 paste ← 晚期拉丁语 pasta ← 希腊语 pasta（撒盐的大麦糊）	a soft moist mixture, or to stick something onto a surface	粘贴/糊状物	She spread paste along the paper edge.|Copy the text and paste it here.	a soft mixture used to stick – 用来粘合的软糊	粘贴：靠糊状物把一物贴到另一物上|糊状物：软而黏的混合物	白色黏稠物从管口挤出，抹在纸背后压上墙面	/peɪst/	
pastime	早期作 passtime／pass-time，来自中古英语 passe tyme，仿中古法语 passetemps 而造	an activity done regularly for enjoyment	消遣	Fishing remains his favourite pastime.|Chess was a common pastime then.	something done to pass the time pleasantly – 用来把时间打发过去的事		桌上摊着拼图，旁边茶杯已凉，窗外天色渐暗		
pasture	中古英语 pasture ← 古法语 pasture ← 晚期拉丁语 pāstūra（牧放），源自拉丁语 pāscere（放牧）	land covered with grass where animals feed	牧场	Cattle grazed in the upper pasture.|They moved the sheep to fresh pasture.	grassland where animals are put to feed – 供牲畜取食的草地		缓坡上牛群低头吃草，木栅栏一直延到山脚		
pat	中古英语 pat（一击）← 古英语 plætt（响亮的一掌），中间的 l 脱落；← 原始日耳曼语 *plat-（击打）	to touch someone lightly with a flat hand	轻拍	She patted the dog on its head.|He gave the boy a friendly pat.	a light flat touch – 用平掌轻轻一触		手掌张平，在肩上轻轻落下两下就抬起		
patch	中古英语 pacche，词源不明；或为更早 placche（布块）的变体 ← 古英语 *plæċċ（斑点、块）	a small piece of cloth used to cover a hole, or a small area	补丁/小块地	She sewed a patch onto the sleeve.|A patch of ice covered the path.	a small piece covering or marking an area – 盖住或标出一小片的那块东西	补丁：缝上去盖住破处的布块|小块地：地面上一小片区域	破洞上缝着一块颜色略深的布，针脚绕成方形		
patent	中古英语 patent（授予权利的文书），是 lettre patent（公开文书）的截短 ← 中古法语 patente ← 拉丁语 patēns（敞开的）	an official right to be the only one making a new invention	专利	They filed a patent for the new valve.|The patent expires in three years.	an open letter granting an exclusive right – 公开颁发的独占权文书		盖章文件上画着装置图样，右下角写着编号与日期		
path	古英语 pæþ（小径）← 原始西日耳曼语 *paþ ← 原始日耳曼语 *paþaz	a narrow way made for walking	道路/路径	A narrow path led down to the river.|They followed the path through the woods.	a narrow way worn by passing – 走出来的一条窄道	道路：供人行走的窄道|路径：从一处到另一处所循的走法	林间被踩出一条窄窄的土带，两侧草长得高		
patriotic	法语 patriotique ← 晚期拉丁语 patriōticus ← 希腊语 patriōtikos，源自 patriōtēs（同乡、同胞）	showing strong devotion to the homeland	爱国的	Patriotic songs filled the crowded square.|He wrote a patriotic poem for the day.	devoted to the land one belongs to – 对本土怀有深切感情的		人群在旗下齐声唱着同一首曲子，手按在胸前		
patrol	借自法语 patrouille ← 古法语 patouiller（在水里踩踏），源自 patte（脚掌）← 俗拉丁语 *patta ← 法兰克语 *patta	a regular walk or drive around an area to watch it	巡逻	Guards patrol the perimeter every two hours.|A patrol passed the gate at midnight.	walking a fixed round to keep watch – 沿固定路线走动查看		两名值守者沿围墙走同一条路线，手电扫过角落		
patron	中古英语 patroun ← 古法语 patron ← 拉丁语 patrōnus（保护人），源自 pater（父亲）	a person who gives money to support an activity, or a regular customer	赞助人/顾客	A wealthy patron funded the whole exhibition.|Regular patrons get a small discount.	one who stands over something as protector – 像父辈那样护持某事的人	赞助人：出钱护持某项事业的人|顾客：常来照顾生意的人	出资者站在画作旁，铜牌上刻着他的名字		
pattern	早期作 patten／paterne，来自中古英语 patron（样板）← 古法语 patron ← 中世纪拉丁语 patrōnus	a repeated arrangement, or a model to be copied	模式/图案	The tiles form a simple repeating pattern.|Her sleep pattern changed after the move.	an arrangement that repeats or serves as a model – 反复出现或供照做的排布	模式：反复出现的固定样式|图案：布面或器物上的花样排布	布面上同一组花样每隔一段就重复一次		
