prime	primus（拉丁语 primus 第一的、最前的，最高级形式；prior 是其比较级。该族在词表内有 prime/primary/primitive/prior/priority/premier 六词，另有 prince/princess/principal/principle 出 princeps ＝ primus＋capere，承载词义的是「第一个拿的人」这一整体，可算同支。库中尚无 primus 根，也无以 primus 为 origin 的根，属新根候选）
prior	primus（拉丁语 prior 更前的，是 primus 的比较级；同 prime 一族，词表内共六词以上）
prize	pretium（已建模词根 pretium，其 origin 即写「拉丁语 pretium（价格、代价）」；prize ← 古法语 pris（所值、获取之物）← 拉丁语 pretium。该族在词表内有 prize/price/precious/appreciate/praise 五词，库中 pretium 根现有 price/precious/appreciate 三个成员，属补词而非新根）
proof	prob（已建模词根 prob，其 origin 即写「拉丁语 probare（检验、证实）」；proof ← 古法语 prueve ← 晚期拉丁语 proba ← probare。该族在词表内有 proof/prove/probable/probe/approve/approval/improve 七词，库中 prob 根已收后六个，proof 属补词）
prose	vert（已建模词根 vert，其 origin 即写「拉丁语 vertere（转、翻）」；prose ← 拉丁语 prosa ← prorsus / proversus ＝ pro（向前）＋vertere（转），本义「一直朝前转下去的话」，与 verse（行末转回来）正相对。该族在词表内有 prose/convert/divert/reverse/universe/controversy/adverse/anniversary 八词，属补词而非新根）
pub	publicus（已建模词根 publicus，其 origin 即写「拉丁语 publicus（属于民众的）← populus（人民）」；pub 是 public house（对公众开门的屋子）的截短。该族在词表内有 pub/public/publish/publication/republic/publicity 六词，库中 publicus 根已收后五个，pub 属补词）
punch	punktum（已建模词根 punktum，其 origin 即写「拉丁语 punctum（刺出的点、小孔），来自 pungere（刺）」；punch 的工具义 ← 古法语 poinçon ← 拉丁语 punctionem ← pungere，打孔器与拳头猛戳同出「戳进去」一象。该族在词表内有 punch/point/punctual/appoint/disappoint 五词，库中 punktum 根已收后四个，punch 属补词）
push	pel（已建模词根 pel，其 origin 即写「拉丁语 pellere（推、驱赶）」；push ← 古法语 poulser ← 拉丁语 pulsare，是 pellere 的反复体。该族在词表内有 push/compel/expel/repel/propel/impulse/pulse/appeal/compulsory 九词，库中 pel 根已收 compel/expel/repel/propel/appeal/compulsory，push 属补词）
radio	radius（拉丁语 radius 棍杖、车轮辐条、光线，radiare 表「向四方射出」；radio 出 radiotelegraphy，取「以射线传送」之义。该族在词表内有 radio/radiant/radiate/radioactive/radius/ray 六词，radical 出 radix（草根）不计入，radar 是首字母缩写不计入。库中尚无 radius 根，也无以 radius 为 origin 的根，属新根候选）
ray	radius（古法语 rai ← 拉丁语 radius 光线、辐条；同 radio 一族，词表内共六词）
rail	regula（已建模词根 regula，其 origin 即写「拉丁语 regula（笔直的木尺、准绳），来自 regere（导正）」；rail ← 古法语 reille ← 通俗拉丁语 regla ← regula，本义就是那根笔直的木条，故引申为栏杆与铁轨。该族在词表内有 rail/rule/regular/regulate/ruler/railroad 六词，库中 regula 根现只有 regular/regulate 两个成员，rail 属补词。另有表「抱怨、斥骂」的 rail 出古法语 railler，与此不同源）
rally	ligare（已建模词根 ligare，其 origin 即写「拉丁语 ligare（捆、绑住）」；rally ← 法语 rallier ＝ re-（再）＋allier ← 拉丁语 alligare ＝ ad-＋ligare，本义「重新把散开的人捆到一处」。该族在词表内有 rally/ally/alliance/oblige/religion/league/liable/rely/reliable 九词，库中 ligare 根现有 ally/alliance/religion 三个成员，rally 属补词）
rate	reri-ratio（拉丁语 reri（估算、认为）的过去分词 ratus，中世纪拉丁语 rata（按估算定下的份额）；ratio 是其名词形，表「算法、比例」。该族在词表内有 rate/ratio/rational/reason/reasonable 五词——reason ← 古法语 raison ← 拉丁语 rationem，同支。库中尚无此根，也无以 reri / ratio 为 origin 的根，属新根候选）
ratio	reri-ratio（拉丁语 ratio 算法、比例、道理 ← reri；同 rate 一族，词表内共五词）
reign	rect（已建模词根 rect，其 origin 即写「拉丁语 regere / rectus（引导、使直）」；reign ← 古法语 reigne ← 拉丁语 regnum（王权、王国）← regere。该族在词表内除 rect 已收诸词外还有 reign/regime/royal/royalty/realm/region/register 等，均出 regere 一支，属补词而非新根）
rein	tain（已建模词根 tain，其 origin 即写「拉丁语 tenere（握住、持有）」；rein ← 古法语 reine ← 通俗拉丁语 retina ← 拉丁语 retinere ＝ re-（往回）＋tenere，本义「往回握住的那条带子」，正是手里攥着勒马的缰。该族在词表内有 rein/retain/maintain/obtain/contain/tenant 六词，库中 tain 根已收后四个，rein 属补词）
relax	laxare（拉丁语 relaxare ＝ re-（回）＋laxus（松的），承载词义的是 laxus / laxare「松开」。该族在词表内有 relax/release/relay/relish 四词——release ← 古法语 relaissier ← relaxare 同源异途，relay ← 古法语 relaier ＝ re-＋laier（laxare 的方言形），relish ← 古法语 reles「留下的余味」同支。库中尚无 laxare 根，也无以 laxus / laxare 为 origin 的根，属新根候选）
