ink	noun	/ɪŋk/	古法语 enque ← 晚期拉丁语 encaustum ← 希腊语 enkauston（烧灼上色的颜料）	a coloured liquid used for writing or printing	笔尖在纸上停了一秒，纸背就洇出一小团黑，边缘毛毛的	墨水/油墨	The pen ran out of ink halfway.|Ink soaked through to the next page.	dark fluid that leaves a mark – 留下痕迹的深色液体	墨水：灌在笔里、写字时流出来的那种|油墨：印刷机滚筒上抹的那层稠的
inland	adjective / adverb	/ˈɪnlənd/	古英语 inland（庄园内圈的地）：in（里）+ land（地）	situated in or towards the interior of a country, away from the coast	开了三小时车，空气里的咸味没了，路两边全是麦田	内陆的/内地的/向内陆	They moved to an inland town last year.|The birds fly inland before a storm.	away from the sea, deeper into the land – 离开海岸往地里去	内陆的：四面不挨海的那一片|内地的：从边境或港口往里数的地方|向内陆：动作方向朝着离海更远处
inlet	noun	/ˈɪnlet/	中古英语 in（里）+ let（放入），字面「让水进来的口子」	a small narrow arm of water reaching into the land, or an opening for intake	海水顺着两片崖壁之间挤进来，尽头窄得只能过一条小船	小湾/进水口/入口	The boat anchored in a sheltered inlet.|Water enters the tank through this inlet.	a narrow way in for water – 一条让水进来的窄口	小湾：海挤进陆地形成的那道细长水面|进水口：机器上让水灌进去的那个孔|入口：泛指让东西进来的开口
inn	noun	/ɪn/	古英语 inn（住处、屋里）← in（里面）← 原始日耳曼语 *innai	a small hotel or pub, usually in the country	雪夜里路边一扇黄窗，推门进去有火炉和一排空床	小旅馆/客栈/酒馆	They stayed at a small country inn.|The inn serves hot soup all night.	a house that takes you in for the night – 收人过夜的屋子	小旅馆：乡下路边只有几间房的落脚处|客栈：旧时供人歇脚住宿的店|酒馆：同一屋子里卖酒卖饭的那一半
inner	adjective	/ˈɪnə/	古英语 innerra（更里面的），是 inne（在里面）的比较级	located further inside, or relating to one's private feelings	剥开三层纸箱，最里头还有一只小盒子，贴着封条	内部的/里面的/内心的	The inner room has no windows.|She kept her inner doubts to herself.	the layer that lies further in – 更靠里的那一层	内部的：整体里靠中心的那部分|里面的：位置上被外层包着的|内心的：藏在人心里、不给外人看的那一层
innocent	adjective	/ˈɪnəsnt/	拉丁语 innocens：in-（不）+ nocere（伤害），字面「不会害人的」	not guilty of a crime, or free from harmful intent	孩子把打碎的杯子捧到大人跟前，眼睛睁得很大，一点不躲	无辜的/清白的/天真的	The court found him innocent.|She gave an innocent smile.	doing no harm and hiding nothing – 不害人也不藏事	无辜的：事情不是他做的，责任落不到他身上|清白的：查过之后身上没有污点|天真的：心里没有坏念头，也想不到别人有
input	noun / verb	/ˈɪnpʊt/	中古英语 in（进）+ put（放），字面「放进去的东西」	something put into a system, or to enter data into a machine	料斗上方倒进一袋豆子，机器嗡地转起来，出口开始落粉	输入/投入/输入数据	The machine needs a steady input of power.|Please input your name here.	what you put in for something to work – 为了运转而放进去的东西	输入：从外面送进系统的那一份|投入：为做成一件事投进去的钱或力气|输入数据：把字和数敲进机器里这个动作
insight	noun	/ˈɪnsaɪt/	中古英语 in（里）+ sight（看见）← 古英语 gesihth	a clear and deep understanding of something	别人还在翻资料，他盯着那张图看了两秒就说出问题在哪	洞察力/见解/领悟	Her book offers real insight into poverty.|He lacked insight into his own habits.	seeing straight into how a thing works – 一眼看进事情里面	洞察力：能看穿表面直接看到里头的本事|见解：看进去之后说出来的那个想法|领悟：忽然看明白的那一下
instead	adverb	/ɪnˈsted/	中古英语 in stead（在……的位置上），stead ← 古英语 stede（地方、位置）← 原始日耳曼语 *stadiz	in place of something else	他伸手要拿咖啡，最后端走了旁边那杯茶	代替/反而/而不是	He drank tea instead of coffee.|She did not cry; she laughed instead.	one thing standing in another's place – 一样东西站到另一样的位子上	代替：把原来那个换下来，自己顶上|反而：预料的没发生，出来的是另一样|而不是：两者只挑后一个，前一个作废
intrude	verb	/ɪnˈtruːd/	拉丁语 intrudere：in-（进）+ trudere（推、挤）	to enter or interfere where you are not welcome	门只开了半尺，一只脚已经先伸进了缝里	侵入/打扰/闯入	I hope I'm not intruding on your meal.|Reporters intruded into her private life.	pushing in where no room was offered – 硬把自己挤进没给你的地方	侵入：不经允许挤进别人的地界|打扰：插进别人正在做的事里|闯入：整个人直接进到不该进的地方
invest	verb	/ɪnˈvest/	拉丁语 investire：in-（进）+ vestire（穿衣）← vestis（衣服），本义「给……穿上」，后转指把钱披到生意上	to put money or effort into something hoping for a return	他把攒下的全部推过桌面，换回一张纸，对面说三年后见	投资/投入/授予	They invested in a small bakery.|She invested years in that project.	laying your money onto something to grow – 把钱披到一样东西上等它长	投资：把钱放进生意里，等它变多|投入：同样把时间和精力放进去|授予：像给人披上衣服那样，把职权加到他身上
iron	noun / adjective / verb	/ˈaɪən/	古英语 īren / īsern ← 原始日耳曼语 *īsarnan（这种硬金属）	a hard grey metal, or to press cloth flat with a heated tool	一块灰扑扑的东西压得手往下坠，敲一下声音又闷又长	铁/铁制的/熨	The gate is made of iron.|She ironed her shirt before dinner.	the heavy grey metal that shapes tools – 打器具用的那种沉重灰金属	铁：又重又硬、敲起来发闷的那种金属|铁制的：用这种材料做出来的|熨：用烧热的这种金属块把布压平
irony	noun	/ˈaɪərəni/	拉丁语 ironia ← 希腊语 eirōneia（装作不知、佯言）← eirōn（说反话的人）	the use of words meaning the opposite of what is said, or an outcome opposite to expectation	消防站自己烧了，牌子还挂在门口没摘	讽刺/反语/出人意料的反差	There was irony in his polite reply.|The irony is that she warned us first.	saying or meaning the reverse – 话面和真意翻了个个儿	讽刺：话说得客气，意思正相反|反语：这种把意思倒过来说的手法|出人意料的反差：事情结局跟该有的样子正好翻过来
irrigate	verb	/ˈɪrɪɡeɪt/	拉丁语 irrigare：in-（进）+ rigare（引水、浇湿）	to supply land with water through channels or pipes	闸板一提，水顺着田垄一路淌到最远那排苗根下	灌溉	Farmers irrigate the fields in June.|They irrigate the desert with pipes.	leading water to where crops need it – 把水引到庄稼要水的地方	灌溉
irritate	verb	/ˈɪrɪteɪt/	拉丁语 irritare（挑动、激起），更早词源不明	to annoy someone, or to make part of the body sore	衣领里那块标签一直磨着后颈，她第七次抬手去抠	使恼火/激怒/使发炎	His constant humming irritated her.|Cheap wool irritates my skin badly.	rubbing at something until it reacts – 一直磨一样东西直到它起反应	使恼火：反复磨人的耐性，让人火起来|激怒：磨到底了，火彻底烧起来|使发炎：磨在皮肉上，那块变红发痒
island	noun	/ˈaɪlənd/	古英语 īgland：īeg（水中之地）+ land ← 原始日耳曼语 *awjō；拼写里那个 s 是后人比着 isle 加的，本词与拉丁语无关	a piece of land completely surrounded by water	船绕了一圈回到原处，这块地四面都是水，谁也走不出去	岛/岛屿/安全岛	They sailed to a small island.|The island has only one road.	land cut off on every side by water – 四面被水切断的一块地	岛：水里孤立的一块陆地|岛屿：这样的地方成片出现时的统称|安全岛：马路中间那块四面是车流的小地方
item	noun	/ˈaɪtəm/	拉丁语 item（同样地、又一条），旧账本每起一行就用这个词开头	a single thing in a list or collection	清单上一条挨一条，每条前头一个小方框，打完钩才往下走	项目/条款/一件物品	Check each item on the list.|The last item cost forty pounds.	one countable entry among many – 一堆里能单拎出来的一条	项目：清单或计划里单列的一条|条款：合同上分开写的每一段规定|一件物品：能拿起来数一个的东西
itself	pronoun	/ɪtˈself/	古英语 hit（它）+ self（自身）← 原始日耳曼语 *selbaz	used to refer back to the same thing already mentioned	风把门关上了，没人碰过它，门是自己合的	它自己/本身	The door closed itself in the wind.|The idea itself is not new.	the thing turning back on the thing – 动作绕回到那样东西身上	它自己：动作落回到同一样东西身上|本身：撇开外围，只说那样东西干净的部分
jam	noun / verb	/dʒæm/	十七世纪英语 jam，可能出自拟声（模仿使劲压挤那一下），更早词源不明	a sweet fruit spread, or to press things tightly into a space	熬得起稠了，勺子拖过去能划出一道沟，慢慢才合上	果酱/堵塞/挤塞	She spread jam on warm bread.|Traffic jammed the whole street.	fruit or bodies pressed into one mass – 果肉或人被压成挤在一起的一团	果酱：水果煮到烂稠、抹在面包上的那一层|堵塞：车或人挤在一处，谁也动不了|挤塞：把东西硬按进不够大的空处
jar	noun	/dʒɑː/	古法语 jarre ← 阿拉伯语 jarrah（陶制大水器）	a wide-mouthed container of glass or clay, usually with a lid	架子上一排玻璃容器，口很宽，手能整只伸进去，盖子拧得死紧	罐/坛/一罐的量	She opened a jar of pickles.|He drank a whole jar of milk.	a wide-mouthed vessel you reach into – 一只能伸手进去的宽口容器	罐：玻璃或陶做的宽口盛器|坛：陶的那一种，多用来腌东西|一罐的量：以这只容器为单位算出来的分量
jargon	noun	/ˈdʒɑːɡən/	古法语 jargon（鸟叫、含混的絮语），出自拟声	special words used by a group that outsiders cannot follow	电梯里两个人在说话，每个字都听得清，连起来一句也不懂	行话/术语	Legal jargon confuses most readers.|He explained it without any jargon.	inside words that shut outsiders out – 圈内人才听得懂的一套说法	行话：同一行的人之间才通的那套说法|术语：这行里对某样东西定死的叫法
jaw	noun	/dʒɔː/	中古英语 jowe，可能出自古法语 joue（腮），更早词源不明	either of the two bones holding the teeth and framing the mouth	他把后槽牙咬死，腮边一条肌肉鼓起来，下面那块骨头往前顶	颌/下巴/嘴部	He clenched his jaw and said nothing.|The dog's jaws snapped shut.	the hinged bone that opens the mouth – 让嘴张合的那副带铰的骨头	颌：上下各一块、夹着牙的那块骨头|下巴：其中下面那块，从外面能摸到|嘴部：连着这副骨头的整个开合部位
jazz	noun	/dʒæz/	二十世纪初美国俚语，先见于西海岸口语，更早词源不明	a style of music with swung rhythm and improvised solos	小号手闭着眼吹了一段，谱上没有，散场后谁也复不出来	爵士乐	He plays jazz in a small club.|The band mixed jazz with folk tunes.	music made up on the spot – 当场即兴造出来的音乐	爵士乐
jealous	adjective	/ˈdʒeləs/	古法语 gelos ← 晚期拉丁语 zelosus ← 拉丁语 zelus ← 希腊语 zēlos（热切、争胜之心）	resenting what another has, or watchful over what is yours	他看着那两人说笑，手里的杯子越攥越紧，眼睛一直没挪开	嫉妒的/妒忌的/看得很紧的	He was jealous of his brother's success.|She is jealous of her own privacy.	burning to have what another holds – 盯着别人手里的东西心里发烧	嫉妒的：见别人有而自己没有，心里不好受|妒忌的：这份不好受再往里烧，开始记恨|看得很紧的：反过来盯住自己的那份，不许人碰
job	noun	/dʒɒb/	中古英语 jobbe（一堆、一块活），词源不明	paid work, or a particular piece of work to be done	七点打卡，同一道流程走到下班，月底账上多一笔	工作/职位/一件活	She found a job in a bank.|Painting the fence is a big job.	a piece of work you are paid to do – 领钱去做的一份活	工作：为挣钱天天去做的那件事|职位：这份活在单位里占的那个位子|一件活：单独拎出来要做完的一桩事
jog	verb / noun	/dʒɒɡ/	中古英语 joggen（轻推、摇动），可能是 shog 的变体	to run at a steady slow pace, or to nudge lightly	他沿着河边匀速跑了四十分钟，呼吸一直没乱，鞋底声一下接一下	慢跑/轻推/唤起	He jogs by the river every morning.|She jogged my elbow on purpose.	moving along in small steady pushes – 一小下接一小下地往前送	慢跑：步子小而匀，能一直跑下去|轻推：胳膊上给一下，力气不大|唤起：在记性上轻推一下，事情就浮上来了
jolly	adjective	/ˈdʒɒli/	古法语 jolif（欢庆的、俊俏的），可能与古诺尔斯语 jól（岁末节庆）有关，更早词源不明	cheerful and full of good humour	他笑起来整张脸都在动，桌上的人跟着一起笑，气氛松下来	快活的/兴高采烈的	He greeted us in a jolly voice.|They had a jolly evening together.	good cheer that spills onto others – 高兴得带着旁人一起松快	快活的：脸上和声音里都是笑意|兴高采烈的：这份高兴外露到藏不住
