cheat	cadere（已建模词根，落下；cheat ← 古法语 escheoir 落归领主，同族 incident/accident/decay/case/occasion 在词表内）
chef	caput（头；可锚定 chief/chef/chapter/capital/captain/cap/cape/mischief/achieve/capable/capacity/cattle 词族）
chemical	khymeia/al-kīmiyā（炼金术，希腊语经阿拉伯语入拉丁语 alchimia；chem- 词干可锚定 chemical/chemist/chemistry）
chemist	khymeia/al-kīmiyā（同上，chem- 词干在词表内已有 chemical/chemist/chemistry 三词）
cherish	carus（拉丁语 carus 亲爱的；可锚定 cherish/charity/caress 词族）
chief	caput（头；同 chef，该族在词表内有 12 词）
circle	circus/circulus（拉丁语 circus 圆圈；可锚定 circle/circuit/circular/circus/circulate 词族）
circuit	circus/circulus（同上，五词同族）
circular	circus/circulus（同上，五词同族）
circus	circus/circulus（同上，五词同族）
cite	citare（拉丁语 citare 唤起、催动；可锚定 cite/excite/exciting/excitement/recite 词族）
citizen	civis（已建模词根，现有成员 civil/civilian/civilize/civilization；citizen/city ← civitas ← civis）
city	civis（已建模词根，同上）
climate	klinein（希腊语 klinein 倾斜，klima 地带；经拉丁语 clinare 锚定 climate/climax/clinic/decline/incline 词族）
climax	klinein（希腊语 klimax 梯子 ← klinein 倾斜，同上词族）
clinic	klinein（希腊语 klinē 卧床 ← klinein 倾斜，同上词族）
