stocking	由 stock（此处指套在腿上的筒状物）＋ -ing 构成；stock 一支 ← 古英语 stocc（树干、桩）← 原始日耳曼语 *stukkaz	a close-fitting covering for the foot and leg, worn under clothes	长筒袜/丝袜	She tore a stocking on the chair leg.|He hung a stocking by the fireplace.	a soft tube pulled up over the leg – 套在腿上的一截软筒	长筒袜：从脚一直套到膝上的那种|丝袜：同一形制，用极薄的料子织成			
stomach	中古英语 stomak ← 古法语 estomac ← 拉丁语 stomachus ← 希腊语 stomachos（食道、口部）← stoma（口）	the organ inside the body where food is broken down after being swallowed	胃/胃部/忍受	He complained of pain in his stomach.|I cannot stomach his rudeness any longer.	the pouch where swallowed food is broken down – 咽下去的东西在这个囊里被化开	胃：食物进去后被化开的那个器官|胃部：连着周围一片说，指位置|忍受：把「能装得下、化得开」用到难堪之事上			
stone	中古英语 ston ← 古英语 stān ← 原始日耳曼语 *stainaz（石）← 原始印欧语 *steyh₂-（变硬）	a hard solid piece of rock	石头/宝石/果核	He threw a stone into the pond.|The ring holds a deep green stone.	a hard lump that keeps its shape under force – 受力也不变形的硬块	石头：山石水石那种硬块|宝石：切磨过的硬块，看重的是色与光|果核：果肉中间那块硬的，硬度上与石相类			
stool	中古英语 stool ← 古英语 stōl（椅、座）← 原始日耳曼语 *stōlaz（椅）← 原始印欧语 *steh₂-（站立）	a seat with legs but no back or arms	凳子/矮凳	He sat on a stool at the bar.|Pull up a stool and join us.	a seat that holds you up and nothing more – 只托住人、别的都不给的座位	凳子：有腿无靠背的座位|矮凳：同类中矮的那种，多供垫脚或矮坐			
stoop	中古英语 stoupen ← 古英语 stūpian（俯身、弯下）← 原始日耳曼语 *stūpōną ← 原始印欧语 *(s)tewb-（顶、撞）	to bend the upper body forward and down	弯身/俯身/屈就	She stooped to pick up the coin.|He would never stoop to cheating.	to bring the upper body down toward the ground – 把上身朝地面压下去	弯身：腰背向前下方折|俯身：同一动作，多为看清或取物|屈就：把身子放低这层用到身份上，指自降身份（同形的「门廊」是另一支，借自荷兰语，与此无关）			verb
stop	中古英语 stoppen ← 古英语 stoppian（塞住、堵住）← 原始日耳曼语 *stuppōną（塞住）← 原始印欧语 *(s)tewp-（顶、塞）	to no longer move or continue	停下/停止/阻止	The bus stopped at the corner.|Nothing could stop him from trying again.	to bring motion to an end, or plug it up – 让动着的止住，本义是把口堵上	停下：动着的东西不再动|停止：把「不再继续」用到行为与过程上|阻止：不让对方动起来，本义堵住正在这一层			
storey	中古英语 story ← 中世纪拉丁语 historia（叙事、饰带）← 希腊语 historia；中世纪教堂常在每层外墙做叙事饰带，遂以此指楼层	one of the levels of a building	层/楼层	The house has three storeys.|Her office is on the top storey.	one horizontal level in a building's stack – 建筑上下叠起来的其中一层	层：上下相叠中的一个|楼层：连着楼房一起说，指第几层			
storm	中古英语 storm ← 古英语 storm（暴风、猛攻）← 原始日耳曼语 *sturmaz（风暴）← 原始印欧语 *(s)twerH-（搅动、驱赶）；与 stir 同源	violent weather with strong wind and usually rain or snow	暴风雨/风暴/猛攻	The storm tore branches from the trees.|Troops stormed the castle gate.	air thrown into violence that hits everything at once – 天气搅到发狂，一下扑到所有东西上	暴风雨：狂风加急雨的天气|风暴：不限雨雪，泛指这类猛烈天气|猛攻：把「一下扑上来」用到攻打上			
story	中古英语 storie ← 盎格鲁诺曼语 estorie ← 拉丁语 historia ← 希腊语 historia（考究所得的学问）；与 history、storey 同源	an account of events, real or made up, told in order	故事/情节/报道	She read the children a bedtime story.|The paper ran a story on the flood.	events told one after another so they make a whole – 一件接一件讲下来，连成一整段	故事：讲出来的一段经历，真假不论|情节：这段经历里事件的先后与因果|报道：把真实之事按这种讲法写出来			
stove	借自中古荷兰语／中古低地德语 stove（暖房、浴室）← 原始西日耳曼语 *stubu（烧热的屋子），更早词源不明	a piece of equipment that gives heat for cooking or for warming a room	炉子/火炉/灶	She put the kettle on the stove.|A wood stove heated the whole cabin.	an enclosed fire that gives out steady heat – 把火围在里面，稳稳往外放热	炉子：烧火取暖或做饭的那件器具|火炉：偏重取暖那一用|灶：偏重做饭那一用			
straight	中古英语 streight，是 strecchen（拉伸）的过去分词 ← 古英语 streċċan（拉伸）← 原始西日耳曼语 *strakkjan（拉直）	going in one direction without a bend or curve	直的/坦率的/连续的	Draw a straight line down the page.|Give me a straight answer.	pulled taut so no bend is left – 拉紧到一点弯都不剩	直的：形状上没有弯折|坦率的：话不绕弯，直接说到点上|连续的：中间不断开，如连赢三场			
