comment	mens（拉丁语 mens/mentis 心智，commentum ← comminisci 想出来；可锚定 comment/mental/mention 词族）
commerce	merx（拉丁语 merx/mercis 货物，commercium 通商；可锚定 commerce/commercial/merchant/merchandise/market/mercy 词族）
common	communis/munus（已建模词根 mun，拉丁语 communis ← com-＋munus 职责；现有成员 4 个）
company	panis（拉丁语 panis 面包，companio 同吃一块面包的人；可锚定 company/companion/accompany 词族）
comprise	prehendere（拉丁语 prehendere 抓住，comprehendere 一把抓全；可锚定 comprise/comprehend/comprehension/comprehensive/prison/prisoner/surprise/enterprise/prize/prey 词族）
compute	putare（拉丁语 putare 核算、思量，computare 一并算清；可锚定 compute/computer/count/account/discount/dispute/reputation/deputy 词族）
comrade	camera（拉丁语 camera 拱室、内室 ← 希腊语 kamara，西班牙语 camarada 同住一室者；可锚定 comrade/camera/chamber 词族）
conceal	celare/cella（拉丁语 celare 藏起、cella 小储室，同出「盖住」一支；可锚定 conceal/cell/cellar/ceiling 词族）
condemn	damnum（拉丁语 damnum 损失、damnare 判罚；可锚定 condemn/damn/damage 词族）
condense	densus（拉丁语 densus 稠密的，condensare 挤稠；可锚定 condense/dense/density 词族）
confess	fateri（拉丁语 fateri 承认，confiteri 当众认下；已建模词根 profiteri 的 origin 即写 fateri，可锚定 confess/confession/profess/profession/professor 词族）
confront	frons（拉丁语 frons/frontis 额、正面，confrontare 正面相对；可锚定 confront/front/frontier 词族）
conquer	quaerere（已建模词根 quir，拉丁语 conquirere ← quaerere 寻求；该根现有成员 11 个）
contrast	stare（已建模词根 sta，拉丁语 contrastare ← contra-＋stare 站着相对；该根现有成员 21 个）
control	rotulus/rota（拉丁语 rota 轮、rotulus 卷册，古法语 contrerole 对照用的副册；可锚定 control/roll/role/enroll/rotate/rotary/round 词族）
cook	coquere（拉丁语 coquere 烹煮，古英语 cōc ← 拉丁语 cocus 厨子；可锚定 cook/kitchen/biscuit 词族）
corridor	currere（已建模词根 curr，意大利语 corridore ← correre ← 拉丁语 currere 跑；该根现有成员 6 个）
cost	stare（已建模词根 sta，古法语 coster ← 拉丁语 constare 站定为某价；该根现有成员 21 个）
costly	stare（同 cost，cost＋-ly，同属已建模词根 sta）
couch	locare（已建模词根 loc，古法语 coucher ← 拉丁语 collocare ← locus 位置；该根现有成员 5 个）
council	concilium/conciliare（已建模词根 conciliare，拉丁语 concilium 集会；词表内另有 reconcile，应补进该根而非另立）
counsel	consulere（已建模词根 consulere，拉丁语 consilium ← consulere 商议；可锚定 counsel/consult/consultant 词族）
count	putare（同 compute，古法语 conter ← 拉丁语 computare ← putare；同族词见 compute 条）
create	creare（拉丁语 creare 生出、造出；可锚定 create/creative/creature/recreation 词族）
creative	creare（同上，四词同族）
creature	creare（同上，四词同族）
crew	crescere（已建模词根 crescere，古法语 creue 增补的人手 ← croistre ← 拉丁语 crescere 生长；该根现有成员 3 个）
