garlic	noun	/ˈɡɑːlɪk/	古英语 gārlēac：gār（矛）+ lēac（韭葱），叶片细长如矛尖 ← 原始日耳曼语	a strong-smelling bulb made up of several small sections, used in cooking	一整头掰开成十几小瓣，每瓣裹层薄皮，切开后气味冲得眼睛发酸	大蒜	Add two cloves of garlic to the pan.|The whole kitchen smelled of garlic.	a bulb that splits into many pungent cloves – 一头能掰成许多辛辣小瓣的鳞茎
garment	noun	/ˈɡɑːmənt/	中古英语 garnement ← 古法语 garnement（衣着、行头）← garnir（备齐、装点）← 法兰克语 *warnjan（提防、备办）	a single piece of clothing	裁缝把一件成品从架上取下，抖开抖平，领口袖口都已缝完，等着装袋	衣服/服装	She wore a plain black garment.|Each garment is checked before it is packed.	one finished piece made to be worn – 做完了、可以直接穿上身的一件	衣服：一件件单独算的穿用之物|服装：把这些东西合起来当一类看，偏正式与行业用语
gas	noun	/ɡæs/	1650 年代经荷兰语入英语，是化学家 van Helmont 依希腊语 khaos（未成形的虚空）新造的词	a substance that is neither solid nor liquid and spreads to fill any space	拧开阀门听见嘶嘶声，眼前什么都看不见，划根火柴却轰一下窜起蓝火	气体/煤气/汽油	Oxygen is a gas at room temperature.|Turn off the gas before you leave.	matter with no shape of its own, filling whatever holds it – 自己没有形状、把容器填满的那种东西	气体：不固不流、能散满整个空间的那一类物质|煤气：管道里送来烧火用的那种，家家都接|汽油：美式口语里给车加的那种液体燃料，由 gasoline 截短而来
gasoline	noun	/ˈɡæsəliːn/	1860 年代英语自造：gas（气）加 -ol（油）与化学后缀 -ine	the liquid fuel burned in most car engines	枪口插进车侧的小口，数字一格格跳，风一吹那股味呛得人偏过头去	汽油	The car ran out of gasoline on the highway.|Gasoline prices rose again this month.	the light liquid fuel that cars burn – 汽车烧的那种轻质液体燃料
gasp	verb / noun	/ɡɑːsp/	中古英语 gaspen（张大嘴吸气）← 古诺尔斯语 geispa（打呵欠），与 gapa（张口）同支	to take in a sudden short breath because of shock, pain or lack of air	冲出水面那一下嘴张到最大，肩膀猛地一抬，声音又粗又短	喘气/吸气/惊呼	He gasped when he saw the bill.|She came up gasping for air.	one sharp pull of breath forced out of you – 被逼出来的猛然一吸	喘气：气不够用，一口接一口地抢|吸气：猛地把气往里拽的那一下动作|惊呼：吓一跳时先抽的那口气，成了出声的反应
gate	noun	/ɡeɪt/	古英语 geat（开口、门道，复数 gatu）← 原始日耳曼语 *gatan（洞、通口）	a movable barrier that closes an opening in a wall or fence	围墙上留出一道缺口，装一扇铁栅，推开吱一声，锁链在柱子上晃	大门/闸门/登机口	He locked the gate behind him.|Passengers should go to gate twelve.	the one opening left in a barrier, with a swing panel on it – 墙上专留的那道口子，配一扇能开合的板	大门：围墙上那道能进出的口，装了扇门|闸门：河渠上同样一道能开合的口，拦的是水|登机口：机场里同样一道口，过去了就上飞机
gather	verb	/ˈɡæðə/	古英语 gadrian / gædrian（聚拢、集合）← 原始日耳曼语 *gaduron（使聚到一处）	to bring things or people together into one place	落了一地的核桃，她弯腰一颗颗捡进围裙兜里，兜口越来越沉	收集/聚集/推断	They gathered wood for the fire.|A crowd gathered outside the shop.	bringing scattered things into one heap – 把散开的东西归到一处	收集：散着的东西一件件拿到手里，攒成一堆|聚集：人自己往一处凑，越凑越多|推断：把零碎的话和迹象拢到一起，得出一个意思
gauge	verb / noun	/ɡeɪdʒ/	古北法语 gauger（校准、量准）← 名词 gauge（量杆），更早词源不明，或出法兰克语一支	to measure something exactly, or an instrument that shows a measurement	一根刻着格的铁杆插进桶里，抽出来看湿到第几道线	测量/估计/仪表	He gauged the depth of the water with a stick.|The fuel gauge showed almost empty.	laying a marked standard against a thing to read it off – 拿带刻度的标准去比出读数	测量：把带刻度的东西贴上去，读出准数|估计：手边没刻度，凭经验比个大概|仪表：替你读数的那个带刻度的小盘
gay	adjective	/ɡeɪ/	古法语 gai（欢快的、鲜亮的），更早词源有争议，一说出法兰克语 *gāhi（快、急）	cheerful and brightly coloured, and now chiefly meaning homosexual	一群人围着桌子笑闹，桌布是大红大黄的格子，灯串挂了满墙	快乐的/鲜艳的/同性恋的	The room was full of gay laughter.|He came out as gay last year.	brightness that shows on the outside – 外面看得见的那种亮和轻快	快乐的：神色和动静都轻快，藏不住|鲜艳的：颜色亮得跳出来，同一种亮|同性恋的：20 世纪后期起成为主要用法，由圈内自称转为通称
gaze	verb / noun	/ɡeɪz/	中古英语 gasen（久久盯看），大概出斯堪的纳维亚语一支，比较挪威、瑞典方言 gasa（张口看）	to look at something for a long time without moving your eyes	他在画前站了十分钟没动，脖子都没转，旁边有人走过也没察觉	凝视/注视/目光	She gazed out of the window for hours.|He felt her gaze on his back.	eyes fixed on one thing and staying there – 眼睛落在一处就不再挪开	凝视：眼神钉住不动，人也跟着定住|注视：把视线一直放在那上头，留着神|目光：投出去的那道视线本身
gear	noun	/ɡɪə/	中古英语 gere ← 古诺尔斯语 gørvi（行头、装备），与动词 gøra（做、备好）同支 ← 原始日耳曼语 *garwjan	the equipment needed for an activity, or a toothed wheel in a machine	绳索头盔锁扣摊在地上一样样清点；旁边两排齿咬住互转，快慢立刻变了	装备/齿轮/挡位	Bring your climbing gear tomorrow.|He shifted the car into third gear.	the fitted-out parts that make a job possible – 为干成一件事配齐的那套件	装备：干一件事要带齐的那一套家伙|齿轮：机器里咬合传力的那种带齿的轮，也算配件一支|挡位：靠这些轮子换出来的快慢档次
get	verb	/ɡet/	古诺尔斯语 geta（取得、够到、能够）← 原始日耳曼语 *getan；古英语只在 begietan、forgietan 等复合词里保留	to come to have something, or to reach a state or place	伸手把架子最上层那个盒子够下来，抱在怀里	得到/变得/到达/明白	I got a letter from her yesterday.|We got home just before dark.	closing the gap until the thing is yours – 把距离收掉，东西就在手里了	得到：原来不在手上，现在在手上了|变得：人或物挪到另一个状态里，跟挪到另一个地方一样|到达：身子本身够到了那个地点|明白：意思够到了脑子里，抓住了
giant	noun / adjective	/ˈdʒaɪənt/	古法语 geant ← 拉丁语 gigas ← 希腊语 gigas（神话中的巨人族）	an imaginary person of enormous size, or something much larger than usual	门框上的刻痕比屋顶还高，脚印踩进泥里能盛住一整桶水	巨人/大企业/巨大的	The story tells of a giant in the hills.|Two giants control the whole market.	a body scaled far past normal size – 尺寸远远超出常人的一副身量	巨人：个头大得离谱的那种人|大企业：行业里体量压过别人的那一家，同一个大|巨大的：拿这种体量去形容别的东西
gift	noun	/ɡɪft/	古诺尔斯语 gift / gipt（赠礼、好运）← 原始日耳曼语 *geftiz ← *geb-（给）；古英语 gift 本指聘礼	something given to someone without payment, or a natural ability	包好的盒子推到对面手边，收的人问多少钱，送的人摆摆手	礼物/赠品/天赋	She brought a small gift for the baby.|He has a real gift for languages.	handed over with nothing asked back – 递过去，不要回报	礼物：白给的东西，不用还钱|赠品：随主货一起白送的那一份|天赋：像被白给的一样，天生就有的本事
gigantic	adjective	/dʒaɪˈɡæntɪk/	拉丁语 gigant-（gigas 的词干）加 -ic 构成 ← 希腊语 gigas（巨人族）	extremely large in size or amount	起重机吊起一块混凝土板，板子把整栋楼的窗户全遮住了	巨大的/庞大的	A gigantic wave hit the small boat.|The project needs a gigantic amount of money.	sized like something out of legend – 大到像传说里的那种尺寸	巨大的：体量大得离谱，一眼就压过来|庞大的：偏说整体铺开的规模，数量或组织也这么说
giggle	verb / noun	/ˈɡɪɡl/	拟声词，16 世纪起见于英语，比较荷兰语 gichelen、德语 gickeln（吃吃地笑）	to laugh in a quick, quiet, high way, often when you should not	两个学生在后排捂着嘴，肩膀一抖一抖，老师一转头又憋回去	咯咯笑/傻笑/一阵笑	The children giggled at his silly hat.|She gave a nervous giggle.	laughter leaking out in small bursts – 一小股一小股漏出来的笑	咯咯笑：声音短促连着串，压不太住|傻笑：没什么正经理由就漏出来的那种|一阵笑：名词用法，指漏出来的那一小阵
girl	noun	/ɡɜːl/	中古英语 gyrle（孩子，男女通用），更早词源不明；低地德语 gære（男孩、女孩）等或与之有关，但关系不清	a female child or a young woman	校门口一个扎马尾的孩子蹲着系鞋带，书包比她背还宽	女孩/姑娘/女儿	A little girl waved from the window.|The girls in her class all play football.	a young female person, not yet grown – 还没长成的那个女性的人	女孩：年纪小的那一个，学龄前后都算|姑娘：长大些但未婚的那一段，口语常用|女儿：家里人说自家那一个
give	verb	/ɡɪv/	古英语 giefan / gifan（交出、赠与）← 原始日耳曼语 *gebanan	to hand something to someone so it becomes theirs	手心朝上把钥匙托过去，等对方的手指合上才松开	给/交出/让步/举办	He gave the keys to his brother.|She gave a talk on birds.	letting a thing pass out of your hand into another's – 让东西从自己手里过到别人手里	给：东西离开自己，归了对方|交出：本来攥着不放，现在松手让出去|让步：把自己占的那点余地让出去|举办：把一场活动给出去，办给别人看
glad	adjective	/ɡlæd/	古英语 glæd（明亮的、欢欣的）← 原始日耳曼语 *gladaz（光滑、发亮）	pleased and happy about something	听完电话她眉毛抬起来，嘴角压不住，走回桌边脚步都轻了	高兴的/乐意的	I am glad you could come.|She was glad to help with the move.	brightness showing on a person's face – 人脸上透出来的那点亮	高兴的：好事落定，脸上就亮起来|乐意的：被请去做事时也是这个亮，愿意接
glance	verb / noun	/ɡlɑːns/	中古英语 glacen（擦过、斜掠）← 古法语 glacier（打滑）← glace（冰）← 拉丁语 glacies（冰）；-n- 受中古英语 glenten（斜看）影响	to look at something quickly and then look away	说话时眼睛往手表上一溜就收回来，对面没看出他在赶时间	一瞥/扫一眼/斜擦而过	He glanced at his watch and stood up.|She gave him a quick glance.	eyes sliding over a thing and off again – 视线在东西上滑一下就滑开	一瞥：落上去又马上离开的那一下看|扫一眼：同一下看，说得更随意些|斜擦而过：本义，子弹或刀锋贴着表面滑开
glare	verb / noun	/ɡleə/	与中古荷兰语、中古低地德语 glaren（发亮）同支 ← 原始日耳曼语 *glaz-，与 glass 同出发亮一源	to shine with a light too strong to look at, or to stare angrily	正午的水面反光直冲眼睛，眼睛被逼得眯起来，看什么都刺	眩光/强光/怒视	The glare of the sun hurt his eyes.|She glared at him and said nothing.	light so hard it pushes the eyes back – 光硬到把眼睛顶回去	眩光：亮得看不成东西的那一片白|强光：单说光的强度，直冲过来|怒视：眼神像这种光一样直冲人，逼得对方躲开
glass	noun	/ɡlɑːs/	古英语 glæs（玻璃、玻璃器皿）← 原始日耳曼语 *glasam（发亮之物）	a hard clear material used for windows and drinking vessels	一块透明的硬片，敲上去脆响，摔在地上碎成尖角的碴子	玻璃/玻璃杯/眼镜	The ball broke the kitchen glass.|He filled her glass with water.	a hard see-through sheet that shatters – 一层硬而透、一摔就碎的东西	玻璃：这种透明硬材料本身|玻璃杯：用它做的喝水的那个|眼镜：用它磨成片架在鼻梁上的那副，常用复数
glide	verb	/ɡlaɪd/	古英语 glīdan（滑行、悄然移动）← 原始日耳曼语 *glīdan	to move smoothly and quietly without effort	天鹅在水面上过去，脚没露出来，身后只留一道细纹	滑行/滑翔/悄然移动	The boat glided across the still lake.|An eagle glided over the valley.	moving with nothing catching or pushing – 走得又稳又静，看不出使劲	滑行：贴着面走，摩擦小得几乎没有|滑翔：不扇翅膀、不开发动机，只借气流走|悄然移动：形容人也这么走，无声无息
glimpse	noun / verb	/ɡlɪmps/	中古英语 glimsen（微微发亮、瞥见），大概出古英语 *glimsian（微光一闪），与 gleam、glimmer 同一 gl- 支	a very short and incomplete view of something	火车过站不停，站牌上的字只闪了半个，没看全就过去了	一瞥/瞥见/短暂领略	I caught a glimpse of her in the crowd.|He glimpsed the sea between the houses.	a view gone before it finishes – 还没看完就没了的那一眼	一瞥：名词，得到的那不完整的一眼|瞥见：动词，恰好接住了这一眼|短暂领略：不止看物，也指对内情只窥到一角
global	adjective	/ˈɡləʊbl/	法语 global ← 拉丁语 globus（球体）	covering or affecting the whole world	桌上那个转起来的圆模型，红线从一头拉到另一头，绕回原处	全球的/全面的	Climate change is a global problem.|The company took a global view of costs.	taken as one whole round surface – 当成一个整圆面来看	全球的：范围铺满整个地表，哪儿都算在内|全面的：同一个整个，用在事情上就是不漏一处
globe	noun	/ɡləʊb/	中古法语 globe ← 拉丁语 globus（团块、球体）	a round object, especially the earth or a model of it	支架上一个能转的圆球，蓝多绿少，指头一拨就晃着转半圈	球体/地球/地球仪	He spun the globe on the desk.|Her books are read across the globe.	one round body seen whole – 整个看的一个圆球	球体：单说这个圆滚滚的形状|地球：我们脚下这个最大的圆球|地球仪：照它做的那个能转的小模型
gloomy	adjective	/ˈɡluːmi/	由 gloom（阴沉）派生，中古英语 gloumen（面色阴沉），更早词源不明	dark and depressing, or without hope	云压得很低，屋里下午三点就得开灯，人坐着不太想说话	阴暗的/阴沉的/悲观的	The old house felt cold and gloomy.|He gave a gloomy view of the future.	light and spirits both drawn down – 光和心气一起往下沉	阴暗的：光进不来，屋里发暗|阴沉的：天色或脸色压着，看不出亮|悲观的：往前看也是这片暗，觉得不会好
glory	noun	/ˈɡlɔːri/	古法语 glorie ← 拉丁语 gloria（荣耀、盛名）	great praise and honour won by an achievement	他举着奖杯站在台子最高一级，闪光灯四面打上来，全场喊着他的名字	荣耀/光荣/壮丽	The team won glory for their country.|The glory of the sunset held them still.	light thrown on someone by what they did – 因所成之事而被打在身上的光	荣耀：众人的称赞照到你身上|光荣：同一件事，中文里更常这么说|壮丽：这种光落在景物上，看着让人肃然
glove	noun	/ɡlʌv/	古英语 glōf（手套，亦指手掌）← 原始日耳曼语 *galōfō，或由集合前缀 *ga- 加 *lōfi（手）构成	a covering for the hand with a separate part for each finger	五个筒子缝在一块皮上，套进去手指各归各位，攥拳时皮面发紧	手套	He pulled on his leather gloves.|She lost one glove on the bus.	a sheath shaped to each finger – 按每根指头分开做的一层壳
glow	verb / noun	/ɡləʊ/	古英语 glōwan（发热发光）← 原始日耳曼语 *glō-（明亮地烧）	to give out a steady soft light or heat without flames	炉子里最后几块炭红着，没有火苗，手伸近了还是烫	发光/发热/红润	The embers glowed in the dark.|Her cheeks glowed after the run.	light coming off heat, with no flame – 有热无焰的那种亮	发光：亮是从自己身上出来的，且不闪|发热：同一块炭，另一面就是烫|红润：人脸上透出这种暖光，气色好
glue	noun / verb	/ɡluː/	古法语 glu（胶、粘鸟胶）← 晚期拉丁语 glutem（主格 glus）← 拉丁语 gluten（胶）	a sticky substance used to join things together	挤出一条稠液抹在断面上，两块按紧数到六十，松手已经掰不开	胶水/胶/粘住	He fixed the broken cup with glue.|She glued the photos into the album.	something sticky that makes two into one – 一层粘的东西，把两件变成一件	胶水：瓶里那种能粘的稠液|胶：泛指这一类能粘合的东西，不限液体|粘住：动词用法，用它把东西按在一起不放
goal	noun	/ɡəʊl/	中古英语 gol（界限、终点），更早词源不明；一说出古英语 *gāl（阻碍），一说出古法语 gaule（长杆）	something you aim to reach, or the place where points are scored	跑道尽头拉了一条白带，最先碰到它的人抬起手；球场两端各立一副框	目标/球门/得分	Her goal is to finish before June.|He scored the winning goal.	the marked end point you drive toward – 划出来、要奔过去的那个终点	目标：定下来要够到的那个点|球门：场上划出的那个要把球送进去的框|得分：球送进那个框换来的一分
goat	noun	/ɡəʊt/	古英语 gāt（母山羊）← 原始日耳曼语 *gaito	a small horned animal kept for milk and meat, able to climb rocks	石壁上一只四条腿的东西站在半个脚掌宽的凸沿上，下巴垂一撮毛，还在嚼	山羊	The goat ate the leaves off the bush.|They keep goats for milk.	a horned climber that eats anything – 长角、能上崖、什么都吃的那种
god	noun	/ɡɒd/	古英语 god（神）← 原始日耳曼语 *gudan（被祈告者）	a being believed to have power over nature and human life	殿里一座比人高的像，脚下摆着果子和香，进来的人先跪下	神/上帝/神像	They prayed to their god for rain.|He does not believe in God.	the one above, asked for what men cannot do – 被求告的那一位，管人办不到的事	神：被信为掌管万物的那一位或那一类|上帝：一神教里唯一的那一位，大写开头|神像：照他的样子造出来受拜的那尊
