lottery	She won a small prize in the lottery.|The council allocates places by lottery.
main	The main road runs past the station.|Cost was their main objection.
man	A man in a grey coat asked for directions.|Early man made tools from flint.
manifest	His unease was manifest to everyone.|The illness first manifests as a mild rash.
material	The tent is made of waterproof material.|Recycled material costs less to buy.
matter	The matter was settled out of court.|It does not matter which key you use.
mercury	Mercury is the only liquid metal at room temperature.|Old thermometers were filled with mercury.
message	She left a message on his desk.|The message never reached the office.
miserable	He looked miserable in the wet clothes.|They spent a miserable night in the tent.
misery	Years of drought brought misery to the region.|The injury caused him constant misery.
monster	Children imagined a monster under the bed.|Only a monster would treat a child that way.
mosaic	A Roman mosaic covers the whole floor.|The tiles form a mosaic of blue and gold.
lubricate	Lubricate the chain every few hundred miles.|Oil lubricates the moving parts.
magistrate	The magistrate fined him fifty pounds.|She appeared before a local magistrate.
masculine	The design has a deliberately masculine look.|German nouns may be masculine or feminine.
mathematical	He gave a mathematical proof of the claim.|Her mathematical ability showed early.
method	They tried a different method the second time.|His method of teaching suits beginners.
microscope	Bacteria are visible only under a microscope.|She adjusted the microscope and looked again.
monitor	Nurses monitor his heart through the night.|A large monitor stood on the desk.
monument	A stone monument marks the battlefield.|The monument was unveiled last spring.
mister	The letter was addressed to Mister Hall.|Excuse me, mister, is this your bag?
machinery	Farm machinery filled the whole shed.|The machinery jammed halfway through the shift.
mainland	Ferries run to the mainland twice a day.|Prices are lower on the mainland.
masterpiece	The painting is regarded as his masterpiece.|She spent nine years on that masterpiece.
meeting	The meeting ran an hour over time.|We arranged a meeting for Thursday morning.
mistake	He made the same mistake twice.|I mistook her for her sister.
misunderstand	Do not misunderstand what I am saying.|She misunderstood the instructions completely.
most	Most of the seats were already taken.|That was the most useful advice we had.
motel	They stopped at a motel off the highway.|The motel had a car park behind it.
mind	Her mind was elsewhere all morning.|I do not mind waiting a little longer.
