forehead	noun	/ˈfɔːhed/	古英语 forheafod：fore（在前）+ heafod（头）← 原始日耳曼语 *haubudam（头）	the part of the face above the eyes and below the hair	体温枪往眉毛上边那块平地一贴，眉一挑，横纹叠起好几道	额头	The nurse pressed a thermometer to his forehead.|Sweat ran down her forehead into her eyes.	the flat field of the face above the eyes – 眼睛上方那块平地
foremost	adjective / adverb	/ˈfɔːməʊst/	古英语 fyrmest（最先的、第一的）← 原始日耳曼语 *frumista-（最先的），后被重新分析为 fore＋most	most important, or coming before all others in position	一排人站齐，只有一个人的鞋尖越出那条白线半个脚掌	最前的/首要的/首先	Safety is the foremost concern on this site.|She stood foremost among the waiting crowd.	ahead of everything else in the line – 在整列里排在所有人前头	最前的：位置上没有谁比它更靠前|首要的：一堆事里先办、最要紧的那件|首先：说话时把这一条摆在最前面
forever	adverb	/fərˈevə/	中古英语 for ever：for（贯穿）＋ ever（古英语 æfre，始终），17 世纪起连写成一词	for all time, or very often in an annoying way	碑上的字换过三代人来看，笔画还是当年那几道，没磨掉一笔	永远/永久地/老是	These mountains will stand here forever.|He is forever losing his keys.	time with no end put to it – 没有给它设终点的时间	永远/永久地：时间上不给它划终点|老是：一件事反复到像不会停，中文借这个词说烦
forget	verb	/fəˈɡet/	古英语 forgietan：for-（离开、失去）＋ gietan（抓住）← 原始日耳曼语 *getan（得到、抓住），与 get 同源	to fail to remember something, or to leave something behind	名字明明在嘴边，想抓的时候手里是空的，只剩一个口型	忘记/忘掉/忘带	I forgot her name at the door.|He forgot his umbrella on the bus.	the hand closing on nothing where a thing was held – 原来握着的地方，手一合是空的	忘记/忘掉：脑子里原有的东西一抓抓不着|忘带：人走了，东西留在原处没被想起
forgive	verb	/fəˈɡɪv/	古英语 forgiefan：for-（彻底）＋ giefan（给）← 原始日耳曼语 *geban（给），是拉丁语 perdonare 的仿译	to stop feeling angry with someone for what they did	抽屉里那张欠条被抽出来，当着人面撕成两半扔进纸篓	原谅/宽恕/免除	She forgave him after a long talk.|The bank forgave part of the debt.	letting go of what the other side still owes – 把对方还欠着的那一笔放掉	原谅：心里那笔账不再记了|宽恕：错是真的，但放弃追下去的权利|免除：欠的钱或该受的罚不再追
fork	noun / verb	/fɔːk/	古英语 forca ← 拉丁语 furca（两齿的干草叉）	a tool with points for eating, or to divide into branches	一根柄到头分成四个尖，尖与尖之间的缝刚好卡住一块肉	叉子/餐叉/分岔	He ate the cake with a fork.|The road forks just past the bridge.	one stem splitting into several points – 一根到头分成几个尖	叉子/餐叉：末端分成几个尖的那件餐具|分岔：路或河到某处分成几支，用的是同一个分法
fossil	noun	/ˈfɒsl/	拉丁语 fossilis（挖出来的）← fodere（挖）	the hard remains of an animal or plant preserved in rock	石头顺纹掰开，里面躺着一条鱼的骨架，鳞的纹路还压在面上	化石/老古董	They found a fossil in the cliff.|My old phone is a fossil now.	a living shape kept as stone – 活物的样子被留成了石头	化石：从土里挖出来的、变成石头的旧生物|老古董：过时太久的人或物，像刚从土里挖出来
foul	adjective / verb	/faʊl/	古英语 fūl（腐臭的、脏的）← 原始日耳曼语 *fūlaz（发臭、烂）	very dirty or unpleasant, or to break the rules in a sport	桶里的水浮着一层绿膜，鼻子一凑就得退开两步	恶臭的/污浊的/犯规	A foul smell came from the drain.|He fouled the striker inside the box.	so spoiled that one pulls back from it – 坏到让人凑近就想退开	恶臭的：味道坏到人得退开|污浊的：水或空气脏得没法用|犯规：把规矩弄脏的那一下动作，裁判要吹
fourteen	noun / adjective	/ˌfɔːˈtiːn/	古英语 fēowertīene：fēower（四）＋ tīen（十）← 原始日耳曼语 *fedwōr ＋ *tehun	the number after thirteen	十根手指数完，桌上还剩四张牌没点到，只好再折起四根	十四	Fourteen people signed the list.|She turns fourteen next month.	one full pair of hands and four more – 两只手数完还多出四个
fox	noun	/fɒks/	古英语 fox ← 原始日耳曼语 *fuhsaz（尾巴粗大的那种野兽）	a wild animal like a small dog with a bushy tail, or a sly person	鸡舍外一道红影贴着墙根溜过去，雪地上只留下一串小梅花印	狐狸/狡猾的人	A fox crossed the field at dawn.|He is an old fox in business.	the red thief that leaves only its tracks – 只留下脚印的那个红色小偷	狐狸：尾巴粗大、贴着墙根走的那种野兽|狡猾的人：像它一样不留把柄就把东西弄走的人
fragrant	adjective	/ˈfreɪɡrənt/	拉丁语 fragrantem ← fragrare（散出气味），与 frangere（打破）不同源	having a pleasant smell	蒸笼一揭，白汽扑到脸上，一路飘到院子外头，邻居都探头	芳香的/香的	The garden was fragrant after the rain.|She brewed a pot of fragrant tea.	a smell that carries itself outward – 一股气味自己往外走	芳香的：好闻的气味不待在原处，自己往外走|香的：同一股气味，口语里就用这一个字
frame	noun / verb	/freɪm/	古英语 framian（有益于、推进）← fram（向前）← 原始日耳曼语 *framaz（往前撑出去）	a border that holds a picture, or the structure that holds something up	四根木条钉成一个方口，中间空着，靠这几根条子撑住整张画	框架/边框/构建	The photo sits in a wooden frame.|They framed the roof in two days.	the few pieces that hold the shape – 撑住形状的那几根	框架：把一样东西撑起来、定住形状的那几根|边框：围在画或镜子外面的那一圈|构建：把主件先搭起来，把形状定下
frank	adjective	/fræŋk/	古法语 franc（自由的、直言的）← 中世纪拉丁语 francus（法兰克人），法兰克人征服高卢后是唯一有自由身的人	saying what you really think, even if it is not welcome	他把方案推回桌子中间，说这个做不成，一句缓和的话都没添	坦率的/直言的	To be frank, I do not like the plan.|She gave a frank answer to the question.	speech with nothing softened on the way out – 话出口时一点没被磨圆	坦率的：想的和说的是同一句，中间不加工|直言的：连不中听的那句也照样说出来
free	adjective / verb	/friː/	古英语 frēo（不受束缚的、自主的）← 原始日耳曼语 *frijaz（自己人、不被拘着的）	not held or limited by anything, costing nothing, or to let something go	笼门大开，链子散在地上一圈，鸟站在门口没有任何东西再拦它	自由的/免费的/空闲的/释放	The birds are free to leave the cage.|Entry is free on Sunday mornings.	nothing holding it in place – 没有一样东西再拴着它	自由的：身上没有绑着的东西|免费的：拿走它不必付出代价|空闲的：那段时间没有被别的事占住|释放：把拴着的解开，让它走
freeze	verb	/friːz/	古英语 frēosan（结冰）← 原始日耳曼语 *freusan（冷到发硬）	to become hard because of cold, or to stop moving completely	一夜过后水面结出一层硬壳，手指压不下去，搭在桶边的布也支着不倒	结冰/冻住/僵住/冻结	The pond freezes every January here.|She froze when she heard the sound.	cold locking a moving thing in place – 冷把还在动的东西定住	结冰：水冷到长出硬壳|冻住：东西被冷定死，推不动|僵住：人一瞬间停在原姿势不敢动|冻结：钱或价被定在原处不许变
freight	noun	/freɪt/	中古荷兰语 vracht／中古低地德语 vrecht（船运的货、运价）← 原始日耳曼语 *fra-aihtiz（运走的财物）	goods carried by ship, train or truck, or the money paid for carrying them	月台上一列车厢挨着一列，每节标着编号，旁边贴着一吨多少钱的价目表	货物/运费/货运	The freight arrived two days late.|They paid the freight on both crates.	a load moved for a price – 一批被收钱运走的东西	货物：被装上车船运走的那一批东西|运费：把它们运走要付的那笔钱|货运：专做这件事的那一行
